,words,count
0,like,282
1,u,164
2,even,161
3,life,157
4,one,146
5,heart,145
6,know,143
7,everything,135
8,go,131
9,song,126
10,soul,125
11,time,125
12,night,123
13,see,119
14,word,114
15,hand,110
16,day,102
17,thought,100
18,dark,99
19,love,98
20,water,95
21,still,93
22,child,92
23,would,88
24,eye,86
25,old,84
26,first,82
27,sun,82
28,dream,79
29,oh,78
30,memory,77
31,people,77
32,white,76
33,already,74
34,remember,73
35,man,73
36,lake,71
37,look,70
38,last,70
39,sky,69
40,let,68
41,come,68
42,calm,67
43,say,66
44,want,65
45,two,65
46,without,65
47,think,63
48,strength,63
49,give,61
50,hour,61
51,end,60
52,something,60
53,noise,58
54,blue,58
55,cold,57
56,alone,56
57,light,56
58,death,55
59,son,54
60,small,54
61,quiet,53
62,much,53
63,young,52
64,long,52
65,take,51
66,clear,51
67,mother,51
68,wind,51
69,left,50
70,field,50
71,away,50
72,little,49
73,mountain,48
74,spring,48
75,make,47
76,right,47
77,front,46
78,voice,46
79,well,46
80,sad,45
81,wave,45
82,every,45
83,century,45
84,shadow,44
85,get,44
86,back,44
87,hear,43
88,pain,43
89,year,43
90,secret,43
91,said,43
92,world,42
93,flow,42
94,evening,42
95,darkness,42
96,close,42
97,cry,41
98,youth,41
99,whisper,39
100,way,39
101,could,39
102,woman,39
103,tree,39
104,lost,39
105,black,39
106,nothing,39
107,chest,38
108,rise,38
109,sound,38
110,moment,37
111,feel,37
112,tell,37
113,whole,37
114,many,37
115,touch,37
116,somewhere,36
117,strange,36
118,place,36
119,burn,36
120,silence,36
121,grass,36
122,ah,36
123,heard,35
124,beautiful,35
125,road,35
126,sweet,35
127,around,34
128,god,34
129,girl,34
130,came,33
131,turn,33
132,breath,33
133,red,33
134,hill,33
135,alive,33
136,least,33
137,autumn,33
138,grave,32
139,country,32
140,body,32
141,river,32
142,fell,32
143,sleep,32
144,hard,32
145,waiting,32
146,brother,32
147,someone,31
148,silent,31
149,three,31
150,difficult,31
151,face,31
152,far,31
153,sorrow,30
154,thing,30
155,shine,30
156,scream,30
157,pas,30
158,father,30
159,another,30
160,morning,30
161,soon,30
162,born,30
163,else,30
164,completely,30
165,find,29
166,seems,29
167,dead,29
168,hope,29
169,summer,29
170,wing,29
171,step,29
172,today,29
173,bird,29
174,died,28
175,village,28
176,flower,28
177,dawn,28
178,went,28
179,mind,28
180,become,28
181,call,28
182,soft,28
183,hug,28
184,homeland,28
185,living,28
186,may,27
187,city,27
188,stop,27
189,new,27
190,strong,27
191,shout,27
192,winter,27
193,blood,27
194,need,27
195,house,27
196,full,27
197,walk,27
198,yet,27
199,thirsty,27
200,sense,27
201,smile,26
202,lip,26
203,green,26
204,slowly,26
205,beauty,26
206,seen,25
207,fire,25
208,trouble,25
209,knock,25
210,curse,25
211,deaf,25
212,stand,25
213,fog,25
214,fall,25
215,dear,25
216,stone,25
217,wait,25
218,among,25
219,head,24
220,never,24
221,bridge,24
222,tear,24
223,passed,24
224,distant,24
225,understand,24
226,everyone,24
227,important,24
228,forehead,23
229,horror,23
230,angry,23
231,fly,23
232,shoulder,23
233,gathered,23
234,live,23
235,earth,23
236,distance,23
237,consciousness,23
238,star,22
239,behind,22
240,falcon,22
241,trembling,22
242,leaf,22
243,window,22
244,maybe,22
245,swallow,21
246,carry,21
247,joy,21
248,desolate,21
249,torn,21
250,power,21
251,also,21
252,keep,21
253,lead,21
254,fear,21
255,laugh,21
256,heat,21
257,church,21
258,air,21
259,bloody,20
260,break,20
261,sorry,20
262,lie,20
263,sing,20
264,character,20
265,empty,20
266,gray,20
267,gaze,20
268,sadness,20
269,game,20
270,always,20
271,die,20
272,force,20
273,good,20
274,dry,20
275,gone,20
276,sharp,20
277,deep,19
278,evil,19
279,going,19
280,spread,19
281,getting,19
282,forest,19
283,palm,19
284,order,19
285,return,19
286,dance,19
287,wild,19
288,free,19
289,happy,19
290,friend,19
291,mention,19
292,immediately,19
293,saint,19
294,rain,19
295,vain,18
296,midnight,18
297,save,18
298,next,18
299,prison,18
300,mean,18
301,boy,18
302,tomorrow,18
303,read,18
304,nt,18
305,thirst,18
306,sick,18
307,yard,18
308,leave,18
309,poetry,18
310,ancient,18
311,gave,18
312,others,18
313,coming,17
314,terrible,17
315,run,17
316,cut,17
317,crazy,17
318,heaven,17
319,drink,17
320,hair,17
321,ready,17
322,birth,17
323,poor,17
324,heavy,17
325,open,17
326,wide,17
327,anything,17
328,top,17
329,remained,17
330,bring,17
331,towards,17
332,muddy,16
333,bitter,16
334,wall,16
335,slave,16
336,anymore,16
337,made,16
338,bed,16
339,path,16
340,miracle,16
341,carried,16
342,ash,16
343,saw,16
344,shore,16
345,moon,16
346,experience,16
347,set,16
348,remembered,16
349,catch,16
350,move,16
351,sometimes,16
352,age,16
353,racin,16
354,dog,15
355,forward,15
356,kind,15
357,goodbye,15
358,flight,15
359,sight,15
360,snake,15
361,street,15
362,dy,15
363,fresh,15
364,dew,15
365,laughter,15
366,view,15
367,ground,15
368,room,15
369,golden,15
370,awaits,15
371,follow,15
372,prayer,15
373,hide,15
374,tonight,15
375,afraid,15
376,spirit,15
377,along,15
378,excitement,15
379,forgive,15
380,faith,15
381,truth,15
382,message,15
383,uncle,15
384,smoke,14
385,space,14
386,arm,14
387,hero,14
388,loved,14
389,bread,14
390,got,14
391,rifle,14
392,near,14
393,found,14
394,walking,14
395,gift,14
396,men,14
397,storm,14
398,pearl,14
399,nobody,14
400,cloud,14
401,peace,14
402,branch,14
403,hold,14
404,big,14
405,silk,14
406,sign,14
407,wine,14
408,suffer,14
409,looking,14
410,future,14
411,told,14
412,stopped,14
413,weakness,14
414,although,14
415,side,14
416,hurt,14
417,rock,14
418,lord,14
419,naked,13
420,given,13
421,rest,13
422,breast,13
423,freedom,13
424,sting,13
425,broken,13
426,snow,13
427,mine,13
428,master,13
429,often,13
430,weird,13
431,flame,13
432,struggle,13
433,caught,13
434,lot,13
435,sea,13
436,put,13
437,middle,13
438,finger,13
439,weak,13
440,sink,13
441,reach,13
442,grow,13
443,talk,13
444,yes,13
