,words,count
0,like,282
1,us,164
2,even,161
3,one,143
4,life,142
5,everything,135
6,know,120
7,night,118
8,heart,113
9,song,111
10,see,107
11,soul,101
12,dark,99
13,time,98
14,go,97
15,love,96
16,word,94
17,still,93
18,water,90
19,would,88
20,thought,86
21,old,84
22,first,82
23,sun,82
24,oh,78
25,people,77
26,eyes,76
27,already,74
28,white,74
29,dream,73
30,remember,73
31,man,73
32,sky,69
33,memory,69
34,day,69
35,let,67
36,two,65
37,without,65
38,strength,63
39,lake,62
40,look,60
41,something,60
42,calm,60
43,hand,59
44,end,59
45,last,59
46,noise,58
47,hour,58
48,blue,57
49,say,57
50,cold,57
51,give,56
52,alone,56
53,think,56
54,want,55
55,death,55
56,small,54
57,quiet,53
58,much,53
59,come,52
60,son,52
61,young,52
62,long,52
63,clear,51
64,hands,51
65,mother,51
66,left,50
67,away,50
68,little,49
69,light,49
70,child,48
71,front,46
72,wind,46
73,right,46
74,sad,45
75,every,45
76,well,45
77,take,44
78,children,44
79,spring,44
80,voice,44
81,hear,43
82,said,43
83,world,42
84,darkness,42
85,back,42
86,pain,41
87,youth,41
88,get,40
89,century,40
90,evening,40
91,could,39
92,lost,39
93,nothing,39
94,make,38
95,way,38
96,chest,37
97,secret,37
98,black,37
99,whole,37
100,many,37
101,somewhere,36
102,strange,36
103,tell,36
104,close,36
105,ah,36
106,heard,35
107,beautiful,35
108,sweet,35
109,silence,35
110,goes,34
111,shadow,34
112,around,34
113,whisper,34
114,touch,34
115,days,33
116,came,33
117,moment,33
118,god,33
119,breath,33
120,red,33
121,alive,33
122,least,33
123,autumn,33
124,grave,32
125,field,32
126,fell,32
127,hard,32
128,waiting,32
129,hearts,32
130,someone,31
131,country,31
132,wave,31
133,silent,31
134,three,31
135,difficult,31
136,far,31
137,mountain,30
138,pass,30
139,another,30
140,soon,30
141,feel,30
142,face,30
143,born,30
144,else,30
145,completely,30
146,road,29
147,seems,29
148,dead,29
149,today,29
150,find,28
151,died,28
152,father,28
153,sleep,28
154,went,28
155,mind,28
156,become,28
157,step,28
158,soft,28
159,morning,28
160,grass,28
161,homeland,28
162,living,28
163,sorrow,27
164,may,27
165,city,27
166,new,27
167,body,27
168,river,27
169,strong,27
170,blood,27
171,times,27
172,full,27
173,yet,27
174,thirsty,27
175,sense,27
176,hope,26
177,shout,26
178,green,26
179,slowly,26
180,seen,25
181,trouble,25
182,dawn,25
183,place,25
184,deaf,25
185,summer,25
186,dear,25
187,flowers,25
188,beauty,25
189,girl,25
190,years,25
191,among,25
192,rises,24
193,never,24
194,bridge,24
195,souls,24
196,passed,24
197,distant,24
198,understand,24
199,smile,24
200,wings,24
201,everyone,24
202,stand,24
203,fog,24
204,walk,24
205,important,24
206,fire,23
207,angry,23
208,gathered,23
209,call,23
210,live,23
211,knows,23
212,earth,23
213,lips,23
214,winter,23
215,hug,23
216,consciousness,23
217,behind,22
218,scream,22
219,trembling,22
220,flows,22
221,distance,22
222,tree,22
223,maybe,22
224,cry,21
225,horror,21
226,joy,21
227,desolate,21
228,torn,21
229,also,21
230,thing,21
231,house,21
232,sounds,21
233,air,21
234,bloody,20
235,sorry,20
236,sing,20
237,empty,20
238,power,20
239,flow,20
240,gray,20
241,gaze,20
242,sadness,20
243,always,20
244,die,20
245,force,20
246,burn,20
247,stone,20
248,good,20
249,gone,20
250,women,20
251,words,20
252,need,20
253,sharp,20
254,church,20
255,deep,19
256,woman,19
257,village,19
258,evil,19
259,going,19
260,getting,19
261,order,19
262,dance,19
263,wild,19
264,free,19
265,happy,19
266,fear,19
267,keep,19
268,immediately,19
269,window,19
270,turn,19
271,vain,18
272,forehead,18
273,fly,18
274,shines,18
275,falcon,18
276,next,18
277,prison,18
278,year,18
279,return,18
280,tomorrow,18
281,fields,18
282,fall,18
283,mountains,18
284,nt,18
285,heat,18
286,leaves,18
287,sick,18
288,wait,18
289,leave,18
290,poetry,18
291,gave,18
292,others,18
293,coming,17
294,terrible,17
295,midnight,17
296,stop,17
297,crazy,17
298,trees,17
299,character,17
300,drink,17
301,hair,17
302,ready,17
303,hill,17
304,birth,17
305,boy,17
306,poor,17
307,heavy,17
308,mention,17
309,sound,17
310,wide,17
311,anything,17
312,yard,17
313,thirst,17
314,dry,17
315,saint,17
316,remained,17
317,rain,17
318,bring,17
319,towards,17
320,muddy,16
321,bitter,16
322,anymore,16
323,made,16
324,save,16
325,burns,16
326,comes,16
327,carried,16
328,hills,16
329,open,16
330,saw,16
331,moon,16
332,experience,16
333,remembered,16
334,top,16
335,head,16
336,sometimes,16
337,racin,16
338,forward,15
339,kind,15
340,goodbye,15
341,lie,15
342,flight,15
343,dies,15
344,fresh,15
345,laughter,15
346,crying,15
347,ground,15
348,brothers,15
349,lives,15
350,brother,15
351,golden,15
352,awaits,15
353,follow,15
354,tonight,15
355,afraid,15
356,spirit,15
357,along,15
358,songs,15
359,excitement,15
360,forgive,15
361,faith,15
362,birds,15
363,age,15
364,uncle,15
365,carry,14
366,smoke,14
367,sight,14
368,waves,14
369,turns,14
370,bed,14
371,arms,14
372,hero,14
373,loved,14
374,bread,14
375,got,14
376,near,14
377,knock,14
378,found,14
379,walking,14
380,men,14
381,dew,14
382,view,14
383,ashes,14
384,nobody,14
385,peace,14
386,bird,14
387,room,14
388,big,14
389,wine,14
390,suffer,14
391,rise,14
392,looking,14
393,hide,14
394,future,14
395,told,14
396,thoughts,14
397,stopped,14
398,although,14
399,ancient,14
400,truth,14
401,lord,14
402,naked,13
403,given,13
404,freedom,13
405,snake,13
406,broken,13
407,space,13
408,shoulders,13
409,often,13
410,weird,13
411,caught,13
412,miracle,13
413,storm,13
414,pearl,13
415,curses,13
416,lead,13
417,lot,13
418,sea,13
419,put,13
420,middle,13
421,shore,13
422,weak,13
423,laugh,13
424,grow,13
425,game,13
426,yes,13
427,silk,13
428,happened,13
429,enough,13
430,ice,13
431,simple,13
432,weakness,13
433,unique,13
434,freshness,13
435,becomes,13
436,though,13
437,finally,13
438,cedar,13
439,message,13
440,break,12
441,swallows,12
442,tear,12
443,rest,12
444,early,12
445,slave,12
446,excited,12
447,ahead,12
448,sting,12
449,snow,12
450,heaven,12
451,tears,12
452,struggle,12
453,curse,12
454,shine,12
455,breasts,12
456,ripe,12
457,burning,12
458,everywhere,12
459,mine,12
460,unknown,12
461,sitting,12
462,home,12
463,faithful,12
464,sees,12
465,talk,12
466,warm,12
467,set,12
468,outside,12
469,nice,12
470,cut,12
471,conversation,12
472,countless,12
473,urge,12
474,kole,12
475,act,12
476,teeth,12
477,burst,12
478,area,12
479,stars,11
480,hidden,11
481,passes,11
482,rose,11
483,suddenly,11
484,knocks,11
485,path,11
486,forest,11
487,rifle,11
488,star,11
489,palm,11
490,means,11
491,meet,11
492,wheat,11
493,show,11
494,crushed,11
495,friend,11
496,spread,11
497,speech,11
498,hold,11
499,handful,11
500,low,11
501,sign,11
502,veins,11
503,tired,11
504,consolation,11
505,lasts,11
506,catch,11
507,move,11
508,quite,11
509,gather,11
510,places,11
511,lukewarm,11
512,rhythm,11
513,tribe,11
514,dying,11
515,help,11
516,measure,11
517,according,11
518,stops,10
519,helpless,10
520,silently,10
521,lay,10
522,train,10
523,run,10
524,stormy,10
525,width,10
526,pouring,10
527,hot,10
528,suffering,10
529,childhood,10
530,sin,10
531,walked,10
532,echo,10
533,singing,10
534,wants,10
535,lightning,10
536,took,10
537,underground,10
538,eye,10
539,breathes,10
540,chain,10
541,became,10
542,asleep,10
543,ugly,10
544,fingers,10
545,covered,10
546,poured,10
547,cried,10
548,branches,10
549,shoulder,10
550,dojran,10
551,shadows,10
552,prayer,10
553,extinguished,10
554,flock,10
555,mortal,10
556,done,10
557,human,10
558,really,10
559,looks,10
560,sinking,10
561,approach,10
562,yellow,10
563,raised,10
564,hey,10
565,street,10
566,easy,10
567,park,10
568,feet,10
569,war,10
570,brings,10
571,ever,10
572,ghost,10
573,poet,10
574,touched,10
575,meaning,10
576,sand,10
577,sacrifice,10
578,farther,10
579,great,10
580,ordinary,10
581,apart,10
582,leaving,10
583,dog,10
584,makes,9
585,drunk,9
586,eternity,9
587,crickets,9
588,parting,9
589,knew,9
590,neither,9
591,wound,9
592,gate,9
593,things,9
594,nails,9
595,jump,9
596,roared,9
597,tense,9
598,silver,9
599,rage,9
600,tale,9
601,floor,9
602,tall,9
603,flame,9
604,enemy,9
605,gift,9
606,understood,9
607,eternal,9
608,moisture,9
609,girls,9
610,villages,9
