,words,count
0,the,3189
1,and,1945
2,a,1588
3,to,1559
4,in,1256
5,i,1123
6,of,991
7,you,855
8,is,758
9,it,710
10,that,703
11,with,625
12,not,532
13,for,518
14,me,475
15,on,442
16,my,426
17,are,403
18,he,394
19,from,371
20,as,336
21,will,315
22,they,293
23,like,282
24,was,279
25,be,260
26,how,250
27,what,247
28,your,246
29,we,229
30,but,227
31,at,204
32,him,194
33,do,192
34,so,184
35,have,180
36,when,177
37,his,170
38,them,169
39,all,165
40,this,165
41,only,164
42,us,164
43,now,162
44,her,161
45,no,161
46,if,161
47,even,161
48,s,148
49,our,148
50,which,146
51,one,143
52,by,143
53,life,142
54,she,140
55,everything,135
56,who,131
57,here,129
58,there,129
59,up,126
60,can,123
61,know,120
62,night,118
63,their,117
64,again,115
65,heart,113
66,after,113
67,song,111
68,an,111
69,then,110
70,see,107
71,soul,101
72,dark,99
73,time,98
74,go,97
75,has,97
76,love,96
77,word,94
78,still,93
79,why,91
80,where,90
81,water,90
82,out,88
83,would,88
84,just,87
85,thought,86
86,old,84
87,did,83
88,first,82
89,sun,82
90,over,82
91,were,82
92,before,81
93,through,80
94,oh,78
95,people,77
96,eyes,76
97,under,76
98,already,74
99,white,74
100,dream,73
101,remember,73
102,m,73
103,man,73
104,other,70
105,sky,69
106,memory,69
107,day,69
108,those,68
109,let,67
110,into,67
111,more,65
112,two,65
113,without,65
114,down,64
115,strength,63
116,am,62
117,about,62
118,lake,62
119,some,61
120,look,60
121,something,60
122,such,60
123,calm,60
124,hand,59
125,end,59
126,last,59
127,noise,58
128,hour,58
129,does,58
130,blue,57
131,say,57
132,cold,57
133,give,56
134,alone,56
135,think,56
136,want,55
137,death,55
138,its,55
139,small,54
140,quiet,53
141,much,53
142,come,52
143,son,52
144,young,52
145,long,52
146,clear,51
147,hands,51
148,mother,51
149,or,51
150,left,50
151,because,50
152,had,50
153,away,50
154,little,49
155,light,49
156,child,48
157,each,47
158,front,46
159,wind,46
160,right,46
161,sad,45
162,every,45
163,well,45
164,most,44
165,take,44
166,children,44
167,spring,44
168,voice,44
169,same,44
170,hear,43
171,said,43
172,world,42
173,darkness,42
174,back,42
175,once,41
176,pain,41
177,youth,41
178,get,40
179,century,40
180,evening,40
181,could,39
182,been,39
183,lost,39
184,nothing,39
185,make,38
186,way,38
187,above,38
188,chest,37
189,secret,37
190,black,37
191,whole,37
192,many,37
193,somewhere,36
194,strange,36
195,own,36
196,tell,36
197,close,36
198,ah,36
199,heard,35
200,beautiful,35
201,sweet,35
202,silence,35
203,any,35
204,goes,34
205,shadow,34
206,around,34
207,whisper,34
208,touch,34
209,days,33
210,came,33
211,moment,33
212,god,33
213,breath,33
214,red,33
215,alive,33
216,least,33
217,autumn,33
218,grave,32
219,field,32
220,fell,32
221,hard,32
222,waiting,32
223,hearts,32
224,someone,31
225,nor,31
226,country,31
227,wave,31
228,silent,31
229,three,31
230,difficult,31
231,far,31
232,should,31
233,mountain,30
234,pass,30
235,another,30
236,soon,30
237,feel,30
238,face,30
239,born,30
240,else,30
241,yourself,30
242,completely,30
243,road,29
244,seems,29
245,dead,29
246,today,29
247,find,28
248,died,28
249,father,28
250,sleep,28
251,went,28
252,mind,28
253,become,28
254,step,28
255,soft,28
256,morning,28
257,grass,28
258,o,28
259,homeland,28
260,living,28
261,sorrow,27
262,may,27
263,city,27
264,new,27
265,body,27
266,river,27
267,strong,27
268,blood,27
269,times,27
270,too,27
271,full,27
272,yet,27
273,thirsty,27
274,sense,27
275,hope,26
276,shout,26
277,green,26
278,slowly,26
279,both,26
280,seen,25
281,trouble,25
282,dawn,25
283,place,25
284,deaf,25
285,summer,25
286,dear,25
287,flowers,25
288,beauty,25
289,girl,25
290,years,25
291,among,25
292,rises,24
293,never,24
294,bridge,24
295,souls,24
296,passed,24
297,distant,24
298,understand,24
299,smile,24
300,wings,24
301,everyone,24
302,stand,24
303,fog,24
304,until,24
305,walk,24
306,important,24
307,fire,23
308,angry,23
309,gathered,23
310,call,23
311,live,23
312,knows,23
313,earth,23
314,lips,23
315,winter,23
316,hug,23
317,consciousness,23
318,behind,22
319,scream,22
320,trembling,22
321,flows,22
322,between,22
323,distance,22
324,tree,22
325,maybe,22
326,cry,21
327,horror,21
328,being,21
329,joy,21
330,desolate,21
331,torn,21
332,also,21
333,thing,21
334,house,21
335,sounds,21
336,air,21
337,bloody,20
338,sorry,20
339,sing,20
340,empty,20
341,power,20
342,flow,20
343,gray,20
344,gaze,20
345,sadness,20
346,always,20
347,die,20
348,force,20
349,burn,20
350,stone,20
351,good,20
352,gone,20
353,women,20
354,words,20
355,need,20
356,sharp,20
357,church,20
358,deep,19
359,woman,19
360,village,19
361,evil,19
362,going,19
363,getting,19
364,order,19
365,dance,19
366,wild,19
367,free,19
368,happy,19
369,fear,19
370,keep,19
371,immediately,19
372,window,19
373,turn,19
374,vain,18
375,ourselves,18
376,forehead,18
377,fly,18
378,shines,18
379,falcon,18
380,next,18
381,prison,18
382,year,18
383,very,18
384,return,18
385,tomorrow,18
386,fields,18
387,fall,18
388,mountains,18
389,nt,18
390,heat,18
391,leaves,18
392,sick,18
393,wait,18
394,myself,18
395,himself,18
396,leave,18
397,poetry,18
398,gave,18
399,others,18
400,coming,17
401,terrible,17
402,midnight,17
403,stop,17
404,crazy,17
405,trees,17
406,character,17
407,drink,17
408,hair,17
409,ready,17
410,hill,17
411,birth,17
412,boy,17
413,poor,17
414,heavy,17
415,mention,17
416,sound,17
417,wide,17
418,anything,17
419,yard,17
420,thirst,17
421,dry,17
422,saint,17
423,remained,17
424,rain,17
425,bring,17
426,towards,17
427,muddy,16
428,bitter,16
429,anymore,16
430,made,16
431,save,16
432,burns,16
433,comes,16
434,carried,16
435,hills,16
436,open,16
437,saw,16
438,moon,16
439,experience,16
440,remembered,16
441,top,16
442,than,16
443,head,16
444,sometimes,16
445,racin,16
446,forward,15
447,kind,15
448,goodbye,15
449,lie,15
450,flight,15
451,dies,15
452,fresh,15
453,laughter,15
454,crying,15
455,ground,15
456,brothers,15
457,lives,15
458,brother,15
459,golden,15
460,awaits,15
461,follow,15
462,tonight,15
463,afraid,15
464,spirit,15
465,along,15
466,songs,15
467,excitement,15
468,forgive,15
469,faith,15
470,birds,15
471,age,15
472,uncle,15
473,carry,14
474,smoke,14
475,sight,14
476,waves,14
477,turns,14
478,bed,14
479,arms,14
480,hero,14
481,loved,14
482,bread,14
483,got,14
484,near,14
485,knock,14
486,found,14
487,walking,14
488,men,14
489,dew,14
490,view,14
491,ashes,14
492,nobody,14
493,peace,14
494,bird,14
495,room,14
496,big,14
497,wine,14
498,off,14
499,suffer,14
500,rise,14
501,looking,14
502,hide,14
503,future,14
504,told,14
505,thoughts,14
506,stopped,14
507,although,14
508,ancient,14
509,truth,14
510,lord,14
511,naked,13
512,given,13
513,freedom,13
514,snake,13
515,broken,13
516,space,13
517,shoulders,13
518,often,13
519,weird,13
520,caught,13
521,miracle,13
522,storm,13
523,pearl,13
524,curses,13
525,lead,13
526,lot,13
527,sea,13
528,put,13
529,middle,13
530,shore,13
531,weak,13
532,laugh,13
533,grow,13
534,game,13
535,yes,13
536,silk,13
537,these,13
538,happened,13
539,enough,13
540,ice,13
541,simple,13
542,weakness,13
543,unique,13
544,freshness,13
545,becomes,13
546,though,13
547,finally,13
548,cedar,13
549,message,13
550,break,12
551,swallows,12
552,tear,12
553,rest,12
554,early,12
555,slave,12
556,excited,12
557,ahead,12
558,sting,12
559,snow,12
560,heaven,12
561,tears,12
562,struggle,12
563,curse,12
564,shine,12
565,breasts,12
566,ripe,12
567,burning,12
568,everywhere,12
569,mine,12
570,unknown,12
571,sitting,12
572,home,12
573,faithful,12
574,against,12
575,sees,12
576,talk,12
577,warm,12
578,set,12
579,outside,12
580,nice,12
581,cut,12
582,conversation,12
583,countless,12
584,urge,12
585,kole,12
586,act,12
587,teeth,12
588,burst,12
589,area,12
590,stars,11
591,hidden,11
592,passes,11
593,rose,11
594,suddenly,11
595,knocks,11
596,path,11
597,forest,11
598,rifle,11
599,star,11
600,palm,11
601,means,11
602,meet,11
603,wheat,11
604,show,11
605,crushed,11
606,friend,11
607,spread,11
608,speech,11
609,hold,11
610,themselves,11
611,handful,11
612,low,11
613,sign,11
614,veins,11
615,tired,11
616,consolation,11
617,lasts,11
618,catch,11
619,move,11
620,quite,11
621,gather,11
622,further,11
623,places,11
624,lukewarm,11
625,rhythm,11
626,tribe,11
627,dying,11
628,help,11
629,measure,11
630,itself,11
631,according,11
